business_prob,popup,survey
0.0558854367,0,0
0.0002035972,0,0
0.0733788427,0,0
0.0013480491,0,0
0.0024877195,0,0
0.1093182192,1,1
0.0000000000,0,0
0.0000000000,0,0
0.0020221040,0,0
0.2573175506,1,1
0.0450864854,0,0
0.1403797610,1,1
0.2007430719,1,1
0.0085069725,0,0
0.0016041882,0,0
0.0000000000,0,0
0.0000997681,0,0
0.0759350850,0,0
0.0238780422,0,0
0.0000997681,0,0
0.0001621803,0,0
0.2636466842,1,1
0.0000664556,0,0
0.0008335747,0,0
0.0310457656,0,0
0.0331484120,0,0
0.1587574325,1,1
0.0016699938,0,0
0.0000000000,0,0
0.0122666817,0,0
0.0033354647,0,0
0.1117231995,1,1
0.3715921500,1,1
0.2219277876,1,1
0.0129985938,0,0
0.0053010544,0,0
0.2471181553,1,1
0.0000000000,0,0
0.0191601952,0,0
0.0002035972,0,0
0.0000664556,0,0
0.1293672603,1,1
0.0024360524,0,0
0.0000077256,0,0
0.0001332409,0,0
0.0000077256,0,0
0.0404217246,0,0
0.0006956735,0,0
0.0006697101,0,0
0.0001981292,0,0
0.0124359360,0,0
0.0666274638,0,0
0.0000997681,0,0
0.0000000000,0,0
0.0344281270,0,0
0.0646654692,0,0
0.0001332409,0,0
0.4773680562,1,1
0.1165094480,1,1
0.0017854176,0,0
0.0000000000,0,0
0.0734020493,0,0
0.0099531101,0,0
0.0000000000,0,0
0.1921461180,1,1
0.0039794553,0,0
0.1647205958,1,1
0.0000768533,0,0
0.0000000000,0,0
0.0000997681,0,0
0.2591115591,1,1
0.1181209519,1,1
0.4077247266,1,1
0.0000000000,0,0
0.1045817781,1,1
0.0006849251,0,0
0.0497348624,0,0
0.0000077256,0,0
0.0000664556,0,0
0.0001332409,0,0
0.1614621414,1,1
0.0001981292,0,0
0.0133457442,0,0
0.0574848490,0,0
0.0001981292,0,0
0.0000433804,0,0
0.2440376598,1,1
0.0008914815,0,0
0.0006956735,0,0
0.3176521541,1,1
0.2206595478,1,1
0.0948103488,1,1
0.0023054287,0,0
0.0000077256,0,0
0.0709372289,0,0
0.0001676483,0,0
0.0000433804,0,0
0.0000000000,0,0
0.0008335747,0,0
0.0000077256,0,0
0.2770506834,1,1
0.0024877195,0,0
0.0001621803,0,0
0.1141568344,1,1
0.0001126419,0,0
0.2113961982,1,1
0.0000433804,0,0
0.0002260626,0,0
0.0946747854,1,1
0.0433719768,0,0
0.0161373336,0,0
0.2780228870,1,1
0.0088329984,0,0
0.1391342453,1,1
0.0403368051,0,0
0.2285802578,1,1
0.1584700921,1,1
0.1757477667,1,1
0.0949530853,1,1
0.1405533452,1,1
0.0575308139,0,0
0.0011217101,0,0
0.0000433804,0,0
0.0118243957,0,0
0.0006146953,0,0
0.0045925904,0,0
0.1611421923,1,1
0.1579338150,1,1
0.1793359650,1,1
0.0000433804,0,0
0.0017326131,0,0
0.0000997681,0,0
0.0000433804,0,0
0.0000433804,0,0
0.0823561731,0,0
0.0096550750,0,0
0.0000433804,0,0
0.0091037666,0,0
0.0630481559,0,0
0.0024877195,0,0
0.0101557340,0,0
0.3603511089,1,1
0.2543319384,1,1
0.3038791856,1,1
0.0003360267,0,0
0.0001332409,0,0
0.0042282282,0,0
0.1688208166,1,1
0.0000000000,0,0
0.0036975270,0,0
0.0002260626,0,0
0.0027193771,0,0
0.0016817369,0,0
0.0038010382,0,0
0.0017066546,0,0
0.0042403314,0,0
0.0002035972,0,0
0.0002035972,0,0
0.0932168330,1,0
0.0032137856,0,0
0.0007627079,0,0
0.0611253475,0,0
0.3172442657,1,1
0.0000000000,0,0
0.0002035972,0,0
0.0786502366,0,0
0.1174723099,1,1
0.0001621803,0,0
0.0002203368,0,0
0.1455695058,1,1
0.0009220125,0,0
0.1735649002,1,1
0.0947659982,1,1
0.0000000000,0,0
0.0000000000,0,0
0.0146339393,0,0
0.1380643454,1,1
0.0000000000,0,0
0.0479156582,0,0
0.1890723655,1,1
0.1385872599,1,1
0.0014336085,0,0
0.0010293827,0,0
0.3720714386,1,1
0.2415612915,1,1
0.0417752438,0,0
0.0079418661,0,0
0.0002035972,0,0
0.0001332409,0,0
0.0401903954,0,0
0.0106403206,0,0
0.0473572217,0,0
0.0001621803,0,0
0.4567283192,1,1
0.0000997681,0,0
0.0000077256,0,0
0.0000000000,0,0
0.0295333305,0,0
0.0014450505,0,0
0.0001971232,0,0
0.6444677114,1,1
0.1874037263,1,1
0.0199518887,0,0
0.2657530642,1,1
0.0048397268,0,0
0.0001332409,0,0
0.0034835256,0,0
0.0000077256,0,0
0.0000433804,0,0
0.1356471915,1,1
0.0118227859,0,0
0.0011253408,0,0
0.0027193771,0,0
0.6127656096,1,1
0.0016817369,0,0
0.0000000000,0,0
0.0007944801,0,0
0.0000000000,0,0
0.1070090119,1,1
0.2918342681,1,1
0.0999709630,1,1
0.0000000000,0,0
0.0000664556,0,0
0.0881896710,1,0
0.0000997681,0,0
0.0027193771,0,0
0.0011587202,0,0
0.0024271078,0,0
0.0004007522,0,0
0.0000000000,0,0
0.0001691898,0,0
